Número del canal,Desde estaciones de barco (MHz),Desde estaciones costeras (MHz)
60,"156,025","160,625"
1,"156,050","160,650"
61,"156,075","160,675"
2,"156,100","160,700"
62,"156,125","160,725"
3,"156,150","160,750"
63,"156,175","160,775"
4,"156,200","160,800"
64,"156,225","160,825"
5,"156,250","160,850"
65,"156,275","160,875"
6,"156,300","156,300"
66,"156,325","160,925"
7,"156,350","160,950"
67,"156,375","156,375"
8,"156,400","156,400"
68,"156,425","156,425"
9,"156,450","156,450"
69,"156,475","156,475"
10,"156,500","156,500"
70,"156,525","156,525"
11,"156,550","156,550"
71,"156,575","156,575"
12,"156,600","156,600"
72,"156,625","156,625"
13,"156,650","156,650"
73,"156,675","156,675"
14,"156,700","156,700"
74,"156,725","156,725"
15,"156,750","156,750"
75,"156,775","156,775"
16,"156,800","156,800"
76,"156,825","156,825"
17,"156,850","156,850"
77,"156,875","156,875"
18,"156,900","161,500"
78,"156,925","161,525"
19,"156,950","161,550"
79,"156,975","161,575"
20,"157,000","161,600"
80,"157,025","161,625"
21,"157,050","161,650"
81,"157,075","161,675"
22,"157,100","161,700"
82,"157,125","161,725"
23,"157,150","161,750"
83,"157,175","161,775"
24,"157,200","161,800"
84,"157,225","161,825"
25,"157,250","161,850"
85,"157,275","161,875"
26,"157,300","161,900"
86,"157,325","161,925"
87,"157,375","157,375"
88,"157,425","157,425"
